_id,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
o_tasks/c021ab45-27d3-4c52-b968-13b2f4fc3dd3,6785,"Teach socially acceptable behavior, employing techniques such as behavior modification and positive reinforcement.",Core,115,08/2018,Incumbent
o_tasks/3f1e0e20-e7a5-4710-aba8-858018d103e4,6784,"Maintain accurate and complete student records, and prepare reports on children and activities, as required by laws, district policies, and administrative regulations.",Core,116,08/2018,Incumbent
o_tasks/afa0f3bf-3d57-43ea-a666-bb0b05e34c98,6789,"Instruct through lectures, discussions, and demonstrations in one or more subjects, such as English, mathematics, or social studies.",Core,117,08/2018,Incumbent
o_tasks/adb6381b-a5e2-4aa8-9356-fba9f1b72cad,6790,"Employ special educational strategies and techniques during instruction to improve the development of sensory- and perceptual-motor skills, language, cognition, and memory.",Core,116,08/2018,Incumbent
o_tasks/805b2cd8-85ca-4274-b8ae-9ddce1fb246b,6797,Meet with other professionals to discuss individual students' needs and progress.,Core,117,08/2018,Incumbent
o_tasks/22d69d9f-90e5-420c-b433-e54913864621,6799,Meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs.,Core,116,08/2018,Incumbent
o_tasks/5a115d84-4711-4a5b-9970-c40fa8c3e7b7,6796,"Modify the general education curriculum for special-needs students, based upon a variety of instructional techniques and technologies.",Core,115,08/2018,Incumbent
o_tasks/5df56092-7019-453c-a85b-7cbdb373348c,6786,Prepare materials and classrooms for class activities.,Core,116,08/2018,Incumbent
o_tasks/d3faf66f-4f9e-4336-b987-c707b298848e,6801,Coordinate placement of students with special needs into mainstream classes.,Core,117,08/2018,Incumbent
o_tasks/5a485cc6-8de7-443c-9c91-048b42067c9d,6792,"Teach personal development skills, such as goal setting, independence, and self-advocacy.",Core,115,08/2018,Incumbent
o_tasks/0ed62571-9599-49fb-a7bc-8b693fb891fa,6798,"Confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems.",Core,117,08/2018,Incumbent
o_tasks/dc2be820-cfc0-4a5e-818d-9fb328478167,6788,"Confer with parents, administrators, testing specialists, social workers, and professionals to develop individual educational plans designed to promote students' educational, physical, and social development.",Core,117,08/2018,Incumbent
o_tasks/55cf638e-37ae-4274-8a42-76246bf8eef1,6791,"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",Core,116,08/2018,Incumbent
o_tasks/472fa45d-5208-494d-8d6d-15d887bc8850,6794,"Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.",Core,115,08/2018,Incumbent
o_tasks/295c6901-4127-4d1d-85ba-637abd44f790,6803,Monitor teachers and teacher assistants to ensure that they adhere to inclusive special education program requirements.,Core,116,08/2018,Incumbent
o_tasks/edf78bc3-da74-41f9-be5f-ca69c6a95898,6793,Prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks.,Core,116,08/2018,Incumbent
o_tasks/61ad80ab-b13d-4de1-9a7d-fcdee97c0d26,6800,"Guide and counsel students with adjustment or academic problems, or special academic interests.",Core,116,08/2018,Incumbent
o_tasks/84e353ea-d99b-44d8-9578-a32eaf127511,6804,"Prepare, administer, and grade tests and assignments to evaluate students' progress.",Core,115,08/2018,Incumbent
o_tasks/23936d86-ffae-4c31-abdc-80c9f95e4afb,6812,Administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,Core,117,08/2018,Incumbent
o_tasks/18840ddc-8a00-46d5-9650-baebb44b4050,6805,"Instruct students in daily living skills required for independent maintenance and self-sufficiency, such as hygiene, safety, and food preparation.",Core,114,08/2018,Incumbent
o_tasks/9d535741-3fbc-499d-9926-24b86a30117c,6809,"Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.",Core,116,08/2018,Incumbent
o_tasks/2de21fc5-c1b0-4a39-8da3-7dd54f573992,6814,Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.,Core,117,08/2018,Incumbent
o_tasks/02560a02-474e-4c85-88de-ac4af353bb56,6808,"Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.",Core,116,08/2018,Incumbent
o_tasks/0fd1a645-7cc8-4750-9ff8-6d33580575fc,6807,Provide additional instruction in vocational areas.,Core,116,08/2018,Incumbent
o_tasks/e5c511f9-6e78-4c92-9232-4ed146a87e06,6810,Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.,Core,116,08/2018,Incumbent
o_tasks/fe4f1278-df48-4109-b156-ab62f33d445c,6811,"Use computers, audio-visual aids, and other equipment and materials to supplement presentations.",Core,116,08/2018,Incumbent
o_tasks/1775d03b-40cc-4d62-9171-ce75a19a6ee7,6813,"Collaborate with other teachers and administrators in the development, evaluation, and revision of secondary school programs.",Core,116,08/2018,Incumbent
o_tasks/b244d55b-da84-4afa-b72f-08d05f1ee0ce,6820,"Provide assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.",Core,112,08/2018,Incumbent
o_tasks/6c0939f7-6524-4b88-b2ca-4051a5fa16a4,6806,Meet with parents and guardians to provide guidance in using community resources and to teach skills for dealing with students' impairments.,Core,114,08/2018,Incumbent
o_tasks/8b0bb677-f525-4817-a5a5-1873b94ec7c6,6815,"Attend professional meetings, educational conferences, and teacher training workshops to maintain and improve professional competence.",Core,116,08/2018,Incumbent
o_tasks/7b460142-63d8-49f1-9963-9fec3d168fc6,6816,"Plan and supervise class projects, field trips, visits by guest speakers, or other experiential activities, and guide students in learning from those activities.",Core,114,08/2018,Incumbent
o_tasks/215d26e1-f0c6-4d45-8e61-77f3dc2d2b9b,6817,"Attend staff meetings and serve on committees, as required.",Core,116,08/2018,Incumbent
o_tasks/22f053ab-488e-428b-acae-a492e13e3a0c,6819,"Perform administrative duties, such as assisting in school libraries, hall and cafeteria monitoring, and bus loading and unloading.",Core,115,08/2018,Incumbent
o_tasks/2dbb9136-f54d-4eae-93a6-b690604690d2,6823,"Sponsor extracurricular activities, such as clubs, student organizations, and academic contests.",Core,115,08/2018,Incumbent
o_tasks/cd025ea3-c842-4b5b-871d-f89e4e9b588f,6818,"Select, store, order, issue, and inventory classroom equipment, materials, and supplies.",Core,115,08/2018,Incumbent
o_tasks/1dcd6da1-d3ee-4ef2-b1eb-5ad5851cba48,6822,Provide interpretation and transcription of regular classroom materials through Braille and sign language.,Supplemental,117,08/2018,Incumbent
o_tasks/93a40f55-9b7c-4803-9e89-fa9fada8dc6a,6821,Visit schools to tutor students with sensory impairments and to consult with teachers regarding students' special needs.,Supplemental,115,08/2018,Incumbent
o_tasks/ea959edc-a2b0-4b77-b701-b361dc026cdb,17017,"Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition.",Core,32,07/2012,Occupational Expert
o_tasks/60c3e3c8-11b1-4488-96d2-3d6e0f4f9345,17016,Adapt instructional techniques to the age and skill levels of students.,Core,32,07/2012,Occupational Expert
o_tasks/c834bb02-4e5b-4182-8bbc-0d8788164991,17018,"Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement.",Core,32,07/2012,Occupational Expert
o_tasks/21b43d37-7178-43d4-9c5d-f3a473e306fa,17008,"Maintain thorough student records to document attendance, participation, or progress, ensuring confidentiality of all records.",Core,32,07/2012,Occupational Expert
o_tasks/41ae7e78-7baa-404c-8ab2-4568061188df,17013,Assist in screening or placement of students in adapted physical education programs.,Core,32,07/2012,Occupational Expert
o_tasks/9b9ffb8b-053c-4920-812f-70f78a803529,17005,Provide students positive feedback to encourage them and help them develop an appreciation for physical education.,Core,32,07/2012,Occupational Expert
o_tasks/d4b86768-e3c7-4951-8d61-89b44595225c,17014,Assess students' physical progress or needs.,Core,32,07/2012,Occupational Expert
o_tasks/eeebe7ae-a37f-4400-8964-ff43bdf80e71,17007,Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students.,Core,32,07/2012,Occupational Expert
o_tasks/1cf1d8df-94fb-42b0-a189-49b44c96461c,17011,"Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning.",Core,32,07/2012,Occupational Expert
o_tasks/3ea82564-a06d-49d9-8d0f-d5e9a94b669d,17006,Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals.,Core,32,07/2012,Occupational Expert
o_tasks/aaf73fb3-bf86-44b1-ac3c-6e02f27f0d50,17004,Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.,Core,32,07/2012,Occupational Expert
o_tasks/55a44a03-fb52-45b2-92b3-7cceada3195c,17010,Evaluate the motor needs of individual students to determine their need for adapted physical education services.,Core,32,07/2012,Occupational Expert
o_tasks/6b765def-e365-4ea4-80b9-5f56623bcd6d,17012,"Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators.",Core,32,07/2012,Occupational Expert
o_tasks/1e8164b8-48a5-475f-928d-dc3198787e89,17002,"Write reports to summarize student performance, social growth, or physical development.",Core,32,07/2012,Occupational Expert
o_tasks/f4c8b5b2-cc7c-4752-bbc3-381b00538479,17015,Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.,Core,32,07/2012,Occupational Expert
o_tasks/192de82b-4187-41d2-8c9a-5104473445c1,17003,"Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education.",Core,32,07/2012,Occupational Expert
o_tasks/757a7ff6-0e98-4447-847e-3e988bc0d10c,17000,Review adapted physical education programs or practices to ensure compliance with government or other regulations.,Core,32,07/2012,Occupational Expert
o_tasks/db685ed1-522e-42b3-87e5-2c92ccccb46e,17001,"Request or order physical education equipment, following standard procedures.",Core,32,07/2012,Occupational Expert
o_tasks/821b05ae-88f1-433d-9e77-2f3f4d88386c,17009,"Maintain inventory of instructional equipment, materials, or aids.",Core,32,07/2012,Occupational Expert
o_tasks/5142955f-bbab-4a75-8ae9-bef4d43d64fe,6825,Observe and evaluate students' work to determine progress and make suggestions for improvement.,Core,65,08/2018,Incumbent
o_tasks/8658195c-e636-4b5b-b6a9-8343e9d60b67,6836,"Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.",Core,65,08/2018,Incumbent
o_tasks/4abbd3ff-153a-47a8-8b09-2a37ca2b88ae,6830,"Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.",Core,65,08/2018,Incumbent
o_tasks/4825d4d9-18aa-4ba7-a561-a5822a39b83a,6824,"Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.",Core,64,08/2018,Incumbent
o_tasks/71d2b27a-9e36-4579-971a-a181650310b8,6832,Prepare students for further education by encouraging them to explore learning opportunities and to persevere with challenging tasks.,Core,64,08/2018,Incumbent
o_tasks/576e718b-7a03-4c13-9f11-1a921b386015,6829,Prepare materials and classrooms for class activities.,Core,65,08/2018,Incumbent
o_tasks/e915db35-691d-46e1-9ae6-ff4828ea7a15,6827,"Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.",Core,65,08/2018,Incumbent
o_tasks/0552cbc3-005d-46bb-b206-a70e65816601,6826,"Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.",Core,65,08/2018,Incumbent
o_tasks/87cb2fb0-d11a-49a2-b7db-1b708b5ee5d3,6835,Assign and grade class work and homework.,Core,65,08/2018,Incumbent
o_tasks/1284e25e-c72e-4712-9132-3ddb402226f8,6828,Maintain accurate and complete student records as required by laws or administrative policies.,Core,65,08/2018,Incumbent
o_tasks/b59008cd-3ed1-44a9-a507-b8c24eac5a2f,6831,"Conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic English language skills, life skills, and workforce entry skills.",Core,65,08/2018,Incumbent
o_tasks/fe90294e-ab1b-484f-b07e-f1c15f525137,6833,Establish and enforce rules for behavior and procedures for maintaining order among the students for whom they are responsible.,Core,64,08/2018,Incumbent
o_tasks/0113fe2e-cb12-420a-9e09-e5207371826d,6839,"Prepare and administer written, oral, and performance tests and issue grades in accordance with performance.",Core,65,08/2018,Incumbent
o_tasks/186a5557-32b6-4e89-bf10-de1e4a375c79,6838,Prepare and implement remedial programs for students requiring extra help.,Core,65,08/2018,Incumbent
o_tasks/833195a3-97f2-4de1-81c8-d88ab6e6f194,6848,Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.,Core,65,08/2018,Incumbent
o_tasks/78e2e0a5-3606-4e94-81e9-5d00d3813374,6843,Enforce administration policies and rules governing students.,Core,65,08/2018,Incumbent
